,Year,Unnamed: 6,Unnamed: 12,Unnamed: 20
1087,2009.0,,,
1088,2019.0,,,
1089,2021.0,,,
1090,2000.0,,,
1091,2017.0,,,
1092,2019.0,,,
1093,2020.0,,,
1094,2017.0,,,
1095,2019.0,,,
1096,2016.0,,,
1097,2021.0,,,
1098,2019.0,,,
1099,2018.0,,,
1100,2020.0,,,
1101,2018.0,,,
1102,2018.0,,,
1103,2021.0,,,
1104,2017.0,,,
1105,2017.0,,,
1106,2013.0,,,
1107,2018.0,,,
1108,2014.0,,,
1109,2016.0,,,
1110,2002.0,,,
1111,2017.0,,,
1112,2020.0,,,
1113,2009.0,,,
1114,2019.0,,,
1115,2014.0,,,
1116,2017.0,,,
1117,2020.0,,,
1118,2019.0,,,
1119,1958.0,,,
1120,2011.0,,,
1121,1997.0,,,
1122,1998.0,,,
1123,2017.0,,,
1124,2016.0,,,
1125,2013.0,,,
1126,2014.0,,,
1127,2020.0,,,
1128,2008.0,,,
1129,1997.0,,,
1130,2020.0,,,
1131,2010.0,,,
1132,2022.0,,,
1133,1998.0,,,
1134,2015.0,,,
1135,2016.0,,,
1136,2020.0,,,
1137,2022.0,,,
1138,2019.0,,,
1139,2018.0,,,
1140,2014.0,,,
1141,2019.0,,,
1142,2015.0,,,
1143,2019.0,,,
1144,2021.0,,,
1145,2021.0,,,
1146,2020.0,,,
1147,2007.0,,,
1148,2010.0,,,
1149,2003.0,,,
1150,2010.0,,,
1151,2016.0,,,
1152,2010.0,,,
1153,2018.0,,,
1154,2010.0,,,
1155,2014.0,,,
1156,2015.0,,,
1157,1995.0,,,
1158,2017.0,,,
1159,2016.0,,,
1160,2018.0,,,
1161,2009.0,,,
1162,2019.0,,,
1163,2020.0,,,
1164,2021.0,,,
1165,2019.0,,,
1166,2018.0,,,
1167,2015.0,,,
1168,2010.0,,,
1169,2017.0,,,
1170,2020.0,,,
1171,2021.0,,,
1172,2020.0,,,
1173,2017.0,,,
1174,2021.0,,,
1175,2021.0,,,
1176,2019.0,,,
1177,2005.0,,,
1178,2018.0,,,
1179,2018.0,,,
1180,2018.0,,,
1181,2010.0,,,
1182,2016.0,,,
1183,2016.0,,,
1184,2019.0,,,
1185,1993.0,,,
1186,2020.0,,,
1187,2010.0,,,
1188,2022.0,,,
1189,2019.0,,,
1190,2017.0,,,
1191,2000.0,,,
1192,2021.0,,,
1193,2022.0,,,
1194,2019.0,,,
1195,2018.0,,,
1196,2019.0,,,
1197,2016.0,,,
1198,2019.0,,,
1199,2017.0,,,
1200,2018.0,,,
1201,2001.0,,,
1202,2022.0,,,
1203,2009.0,,,
1204,2021.0,,,
1205,2021.0,,,
1206,2022.0,,,
1207,2022.0,,,
1208,2020.0,,,
1209,2018.0,,,
1210,2021.0,,,
1211,2021.0,,,
1212,2020.0,,,
1213,1978.0,,,
1214,2020.0,,,
1215,2011.0,,,
1216,2017.0,,,
1217,2019.0,,,
1218,2022.0,,,
1219,2020.0,,,
1220,2018.0,,,
1221,2008.0,,,
1222,2004.0,,,
1223,2018.0,,,
1224,2016.0,,,
1225,2012.0,,,
1226,2021.0,,,
1227,2016.0,,,
1228,2021.0,,,
1229,2018.0,,,
1230,2019.0,,,
1231,2017.0,,,
1232,2021.0,,,
1233,2021.0,,,
1234,2021.0,,,
1235,2021.0,,,
1236,2021.0,,,
1237,2022.0,,,
1238,2021.0,,,
1239,2018.0,,,
1240,2016.0,,,
1241,2019.0,,,
1242,2019.0,,,
1243,2018.0,,,
1244,2020.0,,,
1245,2019.0,,,
1246,2018.0,,,
1247,2020.0,,,
1248,2020.0,,,
1249,2006.0,,,
1250,2012.0,,,
1251,2018.0,,,
1252,2019.0,,,
1253,2016.0,,,
1254,2007.0,,,
1255,2016.0,,,
1256,2018.0,,,
1257,2016.0,,,
1258,2020.0,,,
1259,2014.0,,,
1260,2018.0,,,
1261,2018.0,,,
1262,2017.0,,,
1263,2008.0,,,
1264,2015.0,,,
1265,2018.0,,,
1266,2018.0,,,
1267,,,,
1268,2022.0,,,
1269,2021.0,,,
1270,2016.0,,,
1271,,,,
1272,,,,
1273,,,,
1274,2022.0,,,
1275,2022.0,,,
1276,2022.0,,,
1277,2022.0,,,
1278,,,,
1279,,,,
1280,,,,
1281,2018.0,,,
1282,2020.0,,,
1283,,,,
1284,2015.0,,,
1285,2017.0,,,
1286,2020.0,,,
1287,,,,
1288,,,,
1289,,,,
1290,2018.0,,,
1291,2018.0,,,
1292,,,,
1293,,,,
1294,2019.0,,,
1295,2016.0,,,
1296,2020.0,,,
1297,,,,
1298,2022.0,,,
1299,2017.0,,,
1300,,,,
1301,2020.0,,,
1302,2017.0,,,
1303,,,,
1304,2021.0,,,
1305,,,,
1306,2019.0,,,
1307,,,,
1308,2021.0,,,
1309,2022.0,,,
1310,2021.0,,,
1311,2019.0,,,
